cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,auc
0,S100a8,0,2.6415125607520724,99.53582240161452,87.966515521451,0,0.8165345216587704
0,S100a9,0,2.6102002415862775,99.19273461150352,78.65364492500872,0,0.8191398672226295
0,Retnlg,0,2.4463592959064973,93.01715438950555,61.957911870712714,0,0.7989784821913675
0,Il1b,0,2.248198702783964,97.53784056508577,68.80595279618649,0,0.8390717128496663
0,Cxcl2,0,2.1323284557890974,90.23208879919274,56.00511568422276,0,0.7845980878247208
0,Il1r2,0,1.8774681630042849,90.75681130171543,48.622253226369025,0,0.8069427075982412
0,Csf3r,0,1.8223448911869609,92.4117053481332,49.54075107545634,0,0.841476966691621
0,Cxcr2,0,1.6914106844323777,86.53884964682139,38.20485990001163,0,0.8144671301098328
0,Msrb1,0,1.6267153992556986,97.67911200807265,80.21160330194164,0,0.8507292055660578
0,Hdc,0,1.6087691382596085,85.44904137235116,40.42553191489361,0,0.794637659174402
0,Clec4d,0,1.579526627371613,86.19576185671039,45.773747238693176,0,0.7866601647122674
0,Srgn,0,1.5733007324152979,99.71745711402623,94.09371003371702,0,0.8685770351956118
0,Grina,0,1.5523088994674212,91.5640766902119,64.08557144518079,0,0.8176928597348231
0,G0s2,0,1.5513343716530485,73.50151362260343,38.69317521218463,0,0.7284457337288943
0,S100a11,0,1.5325233628174826,93.4409687184662,74.40995233112429,0,0.8013811666937093
0,Mxd1,0,1.5055193470262416,84.27850655903129,42.39041971863737,0,0.7897568055529647
0,Hp,0,1.4607339447786538,89.18264379414732,56.725962097430525,0,0.7819044696067655
0,Lcn2,0,1.3827171349244205,75.66094853683148,46.262062550866176,0,0.7034053135585694
0,Slpi,0,1.3354085103609807,78.08274470232088,51.70329031507964,0,0.7322516296241807
0,Mmp8,0,1.325535909601288,71.48335015136226,34.647134054179745,0,0.7193381052657266
1,Clec4f,0,3.6752183246295673,94.15492957746478,4.9604482531311795,0,0.967991431615401
1,Cd5l,0,3.5598615045196302,93.73239436619718,3.7491760052735663,0,0.9661807322179617
1,Apoe,0,3.4864670353292784,100,69.97363216875412,0,0.9516347881289052
