sample_id,group,myeloid_clusters,myeloid_subtype,Kupffer_resident_score1,Monocyte_derived_Mph_score1,Inflammatory_Mph_score1,Injury_response_Mph_score1,Neutrophil_score1,Activated_neutrophil_score1,Interferon_response_score1,Antigen_presentation_score1
con1,Control,7,Monocyte-derived macrophage,-0.762483785496087,1.9059849120085626,0.9141368560528598,0.1563461704771666,1.1570857278059892,0.0585885426527919,-0.2753075482011317,-0.07210536198390805
con1,Control,3,DC-like antigen-presenting myeloid,-0.6165071774403424,-0.21272151137363116,-0.2824863605878962,-0.20249093139631696,-0.4897904149722919,-1.0564186465504772,-0.452416869589077,2.7429479089426207
con1,Control,4,Inflammatory neutrophil,-0.6301774753908225,-0.5747030536102113,0.48565960956833476,-0.21782133521377162,0.9085793410613315,0.29200331076098895,-0.0032646384432412634,0.2618025628896302
con1,Control,3,DC-like antigen-presenting myeloid,-0.6468405127580161,-0.21108020049420495,-0.00844650565153593,-0.04914462609590298,-0.4289242063820301,-0.6878197730137094,-0.44388339948396377,2.396532671391493
con1,Control,11,Neutrophil with erythroid/ambient signal,-0.47677613866638496,0.7549794001435088,-0.18417017716036954,0.1435398284574994,2.3435313220193006,0.23945981860961263,-0.29234013088788996,0.32864519389596947
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.6719628755402894,0.6346503610049007,0.250319494476102,1.3141641330891383,0.026082877150328643,0.041011043466819164,0.3343374682271486,2.1459920413561044
con1,Control,3,DC-like antigen-presenting myeloid,-0.5308709138042871,0.009533242254253893,0.07356083903039556,-0.21782401774253213,-0.2619977597468356,-0.6601982155042424,-0.20970689206453963,2.459130982387569
con1,Control,1,Resident Kupffer cell,1.46878950709764,-0.10656333455784817,0.45869437266046387,1.5456199329704792,1.6370824371137083,0.5356580852588744,-0.43948063672193627,1.1384996215932839
con1,Control,6,Mature neutrophil,-0.36890228043315043,1.1305527287137722,0.37674466279887986,0.15835356485824337,3.5954809491495525,0.3241220626760244,-0.16741510340552615,-0.1719705456337176
con1,Control,1,Resident Kupffer cell,2.4313621228635114,0.20517627981567366,-0.2280104122084422,1.7274965237595052,-0.343172314213099,-0.46141623669858156,0.051140385290396106,0.6978685566469623
con1,Control,3,DC-like antigen-presenting myeloid,-0.6721150510823835,0.9595080585440695,0.15241417470333807,-0.02229150550489689,-0.2853181623129677,-0.6374989025117902,0.4072995312809954,2.233435691226755
con1,Control,11,Neutrophil with erythroid/ambient signal,-0.5211152446822799,0.5361991600400928,0.5086623847602699,-0.23592903511126234,2.2457918834747055,0.6219287681672478,-0.1756009548968949,0.15635714674907308
con1,Control,4,Inflammatory neutrophil,-0.6264838436950553,-0.44911582155951657,0.04948781241676492,-0.16705102152835372,1.0578785461770788,-0.21786051024640718,-0.4628403448416661,0.05891574186073201
con1,Control,4,Inflammatory neutrophil,-0.6226795263877869,0.026884951033416038,0.6403152759922421,-0.23744410410936173,1.5703032657603415,1.1478742646535514,0.36686553044891657,-0.5277961167111302
con1,Control,6,Mature neutrophil,0.15821007526396247,1.1011620155887658,-0.05035076745061606,-0.13833679494247464,3.069251243236868,-0.022922379815856875,-0.3413211518337055,-0.32181288304328387
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,-0.6770234361314889,1.3786565354869316,-0.1605961744718214,1.3587731567215793,-0.20996605112265676,-0.7326185098925059,-0.278672561230886,2.0992034590190625
con1,Control,13,Cycling neutrophil,0.4027441445420361,0.20356514341822285,1.3939603826680926,0.9020823187051009,-0.5049103381275722,0.8452050006696137,0.12414680500056202,1.5746707152281783
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.3451328363149333,0.691782166897159,-0.0314681404507452,0.41706783460415287,-0.27684598394206167,-0.23340089889700155,-0.08113022995696495,2.707662903442669
con1,Control,3,DC-like antigen-presenting myeloid,-0.7179653553915142,-0.04599326819222482,-0.27459243930961397,-0.05474353694362488,-0.4478400902651678,-0.7389375362045908,0.020646765264535683,2.403436218443963
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.5264401243292621,0.7011231592458829,0.25290724151018895,1.5693715867146425,-0.25186096275561504,-0.21672610881076504,0.25579204168679404,1.966121495337776
con1,Control,1,Resident Kupffer cell,2.2981895602485225,0.08225517590922637,-0.6339793628448274,1.29525038730701,-0.22025110626000288,-0.8286721030703301,0.2790118740334454,1.2124677666743413
con1,Control,3,DC-like antigen-presenting myeloid,-0.6666187728660614,0.22474032195201432,-0.7393870102526896,0.03535168188580895,-0.5320476712610798,-1.011014339090501,-0.18634516792129402,0.7923129976656365
con1,Control,1,Resident Kupffer cell,2.041725296868969,-0.11825261267968923,-0.19769804694593135,1.0738213850146878,-0.2650810547247895,-0.34597547406884854,0.24210440144970563,0.8021997101085265
con1,Control,4,Inflammatory neutrophil,-0.6522621209717674,-0.29414129744891193,0.7568169907185661,-0.06082124354397367,1.4821613047234743,1.188050545270258,-0.2806005792177978,0.7062471324000422
con1,Control,3,DC-like antigen-presenting myeloid,-0.6233098227720372,0.8599009661922858,-0.46718374718916733,0.11855702090309816,-0.2782455874219332,-0.8114718482314737,0.7792615319416696,0.10784465130010756
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,-0.607051699962486,1.209084098114877,-0.1382355880848546,1.930416223766898,-0.37505041807596506,-0.7983310770898476,-0.48631089011538686,-0.1571623214691431
con1,Control,4,Inflammatory neutrophil,-0.710674679823091,-0.5037135504609855,-0.11990046632705886,-0.15231873579401567,0.9096551786555863,-0.567379017007927,-0.49789345630913945,0.15114902977481048
con1,Control,7,Monocyte-derived macrophage,-0.48465694214924326,-0.6453015049748622,-0.6895584223985481,0.1343749749164448,-0.3809252367023426,-1.0455413997294167,-0.3756721363172468,2.263431453554957
con1,Control,11,Neutrophil with erythroid/ambient signal,-0.4663149117047937,0.4064934518678228,0.168714300152217,0.2725945279933067,2.1888436182391087,0.6601167149119337,0.2767225682845901,0.18002469349899142
con1,Control,11,Neutrophil with erythroid/ambient signal,-0.5752696090864128,-0.1444483257031387,0.8832691998905849,0.4048508529426962,1.2340121287982626,0.5245255972090628,-0.19287796363544985,-0.04965643374060058
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,-0.287433044622415,0.6851548569962682,0.08735563237391752,1.7030558698536398,-0.283477842651602,0.013473407742534915,0.05951676331440253,-0.09150885038548917
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.3500890770626195,0.9137082974431189,0.3023406030391602,2.1817638447447045,-0.12403492840780705,-0.5205731273015969,-0.10550881839411685,1.6233024034459218
con1,Control,3,DC-like antigen-presenting myeloid,-0.5937801874597515,0.3287892994244406,0.6796524297815443,-0.1243609524306506,-0.22327869999503425,0.3500677255035729,-0.05889992553928336,2.468968807675628
con1,Control,6,Mature neutrophil,-0.3763201769031385,1.1667092191780282,-0.43110133640775233,-0.10178349206761456,3.225939983325577,-0.48168889981644236,-0.2286337577321275,0.10400203245890888
con1,Control,6,Mature neutrophil,-0.5566542593823353,0.6332404078881957,-0.38990874241008566,-0.03310634089047426,3.3570150956205884,-0.6920087158561072,-0.13893674356397825,1.0562348220181035
con1,Control,3,DC-like antigen-presenting myeloid,-0.6902686125261529,0.5872626165379401,-0.08800394128783595,-0.207300421284485,-0.5388561504451302,-0.3870985368450408,-0.20897461622025176,0.1275658231097494
con1,Control,0,Inflammatory neutrophil,-0.5327264341225283,0.06589798519895029,0.7328174936229283,0.3392032643701425,1.991839258371678,1.6144873089894176,-0.07216309219752143,-0.2980509439841248
con1,Control,7,Monocyte-derived macrophage,-0.5786049139790699,1.0687870439779639,-0.12007449799657743,0.7699769362830556,-0.41298806494394635,-0.3964813588474332,-0.41472430162931884,0.8169965643259565
con1,Control,0,Inflammatory neutrophil,-0.5498959235882537,-0.7418080751030479,1.1423714480272613,0.06850412113052806,1.9005806951419617,1.352709264579179,-0.37810077375344736,0.12798643465780835
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.42756095815852146,0.4750052980068403,0.2473761102810319,1.5223071788235552,-0.3889615334582457,-0.14630037071304436,0.1877497077987615,2.77442103391531
con1,Control,3,DC-like antigen-presenting myeloid,-0.5981542073412672,0.09126736359062626,-0.35821370127800234,0.149142299794218,-0.3474626188379645,-0.971234256249462,-0.2959984102886233,2.4843799760794827
con1,Control,4,Inflammatory neutrophil,-0.5844956076679173,-0.033933610658549385,0.32479649673900435,-0.2826245422042093,1.131321965656288,-0.45016728342100276,0.08006362256090194,0.3042370322982212
