sample_id,group,myeloid_clusters,myeloid_subtype,n_cells,Kupffer_resident_score1_mean,Monocyte_derived_Mph_score1_mean,Inflammatory_Mph_score1_mean,Injury_response_Mph_score1_mean,Neutrophil_score1_mean,Activated_neutrophil_score1_mean,Interferon_response_score1_mean,Antigen_presentation_score1_mean
AP-300-2,APAP,13,Cycling neutrophil,31,-0.4181097940807968,0.8407140768706146,-0.23474293439235702,-0.08303537909185163,2.4116737916153888,-0.5447124732197385,-0.25192954772352794,0.12908679409642168
AP-300-2,APAP,14,CCR7+ DC-like antigen-presenting myeloid,10,-0.5862924035161403,-0.690853586494389,-0.03170120438628074,-0.15013356486738721,-0.1908179289084945,-0.7422104721308713,-0.012932004091469806,2.746651626329843
AP-300-2,APAP,15,Rare injury-associated macrophage-like cells,3,0.8389447095724113,0.13117923335190432,0.48435379102962156,1.0522303434484335,-0.22323544127047348,0.175666505793414,-0.25033433648856135,0.5628924506729013
AP-300-3,APAP,0,Inflammatory neutrophil,1737,-0.4120980242999216,-0.2812342107282393,1.00353473129144,0.06040954553131288,1.6399433906291063,1.1861914488944933,-0.1771167192846444,0.1322328827941908
AP-300-3,APAP,1,Resident Kupffer cell,316,1.8183698784985374,0.09872159432506998,-0.01436772630666547,1.334100389537404,-0.006012030273635415,-0.17071448134115816,-0.04039795836323032,1.000693275789163
AP-300-3,APAP,2,Antigen-presenting macrophage / Mo-Mac,232,0.09687171423340767,0.6114817459717938,0.38877161482749967,0.8974609901714832,-0.17308499615981102,0.0867972902542451,-0.04039618713709357,1.991770645440742
AP-300-3,APAP,3,DC-like antigen-presenting myeloid,248,-0.5492003828752647,0.08635124806684379,0.16911104219474793,0.053351522597328276,-0.19722025346818056,-0.42105037057947975,-0.23715547345677696,2.2066937744914097
AP-300-3,APAP,4,Inflammatory neutrophil,267,-0.49072304843656583,-0.3030498001314946,0.5654714363497279,-0.0408900381714936,1.1234450543827996,0.4584381545845426,-0.20407200505388096,0.13119402634096286
AP-300-3,APAP,5,Activated neutrophil,160,-0.42875867356561104,-0.400961576077831,0.5835500964576221,-0.024800682652109454,1.1040186823564,0.5789984454300594,-0.2341397227129457,1.539355743878631
AP-300-3,APAP,6,Mature neutrophil,125,-0.3585110633972266,0.6377547157298253,0.02475620583533604,0.23278476338177867,2.9077612215109894,-0.03579615612810559,-0.19213727510026188,0.43337599597025206
AP-300-3,APAP,7,Monocyte-derived macrophage,82,-0.5539842611078875,1.1960954060704927,0.07703973126478451,0.5918707630087081,-0.13419935310932377,-0.33397287036971524,-0.22280369914157552,0.5969328424455624
AP-300-3,APAP,8,Activated inflammatory neutrophil,157,-0.4383674451786003,-0.33767434450237127,1.6183243085795864,0.10700669738511458,1.1500850031292056,1.69738094753808,-0.17351543226282812,0.13639692372884563
AP-300-3,APAP,9,Possible doublet / hepatocyte ambient-contaminated neutrophil,33,-0.4341384770599044,-0.31225490679023965,0.9454418961667747,0.25487809695459857,1.5852054881862938,1.0472177392092965,-0.19652490197665115,0.20675060349217236
AP-300-3,APAP,10,IFN-responsive inflammatory neutrophil,108,-0.4394731950107643,-0.16939436654419737,1.1334402769149208,0.1106035832472672,1.4515190874033093,1.2955657432347627,0.5535826890461684,0.13458238987947524
AP-300-3,APAP,11,Neutrophil with erythroid/ambient signal,11,-0.40481088618501904,-0.22660840626543285,0.7171360931704727,0.006481763959377214,1.6121190866382684,0.9719560163396607,-0.3001946607096424,0.11076998510548822
AP-300-3,APAP,12,Antigen-presenting myeloid with lymphoid-like signal,27,-0.2742609427898169,0.08276116274340065,0.22549105704641922,0.34817473951378836,-0.19777537071436269,-0.2290433252902418,-0.1821953999839676,1.923007371652015
AP-300-3,APAP,13,Cycling neutrophil,18,0.411818956269243,0.4993294283590837,-0.11791743827843534,0.554655150150617,1.2948295301514257,-0.4567238030879423,-0.17454927711835339,0.4165423857642845
AP-300-3,APAP,14,CCR7+ DC-like antigen-presenting myeloid,12,-0.5343424936598349,-0.5101291345511072,0.06590968307883108,-0.1144503241207776,-0.1449514718674733,-0.5382181424145611,-0.19003418294829302,2.4219885352022152
AP-300-3,APAP,15,Rare injury-associated macrophage-like cells,4,1.0135004653402278,0.3579979719198278,0.880517677389628,0.9975896497074026,-0.176320278797961,0.8001096836720545,-0.2726268569295494,0.42822912909108724
con1,Control,0,Inflammatory neutrophil,16,-0.509474138958337,-0.1327278742448685,0.806173182261104,0.12379377753180452,1.9216783887789568,1.0241179313820346,-0.19458418493850296,0.1254058621784208
con1,Control,1,Resident Kupffer cell,57,2.1774281460430953,0.16563493007204802,-0.14745956939243526,1.4516666085801682,-0.2799439217504411,-0.49411760737881344,0.07124650486080729,0.9408284401381329
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,106,0.09992708857607199,0.9061514647722779,0.379086178556537,1.0071048556451991,-0.2963126030510592,-0.024938295073995854,0.05394351355005047,2.0514078441475587
con1,Control,3,DC-like antigen-presenting myeloid,95,-0.6155126744110334,0.39372904209237247,-0.037635107230149754,-0.04208874234176676,-0.32923059814341554,-0.5561322115253383,-0.1667827252162807,2.12245983974054
con1,Control,4,Inflammatory neutrophil,69,-0.6066058822291701,-0.2619542174713115,0.40271039429026323,-0.15465916640599855,1.1146489612184232,0.24985508579210286,-0.06865021145572006,0.09219024205132069
con1,Control,5,Activated neutrophil,39,-0.5215163313595137,-0.4115508799521336,0.43210216247331257,-0.12214012574017373,1.271588736911369,0.2870344355395925,-0.2415167133048304,1.5523649585301063
con1,Control,6,Mature neutrophil,36,-0.39352186497730396,0.8230984285073728,-0.14304089194207156,0.1708992669366022,3.2126118934519723,-0.08890909163486095,-0.13054582928606784,0.1527690862465093
con1,Control,7,Monocyte-derived macrophage,45,-0.6170807481663345,1.7643602527233735,-0.045972509071005765,0.595958932744002,-0.295683321332505,-0.43256526967561826,-0.17883928270530225,0.21819317575579
con1,Control,8,Activated inflammatory neutrophil,3,-0.5231345965543305,-0.18326673599301704,1.938465279793462,0.16308294203681345,1.2903073314211864,1.6375437576676142,-0.05524825732792934,0.010084337655659728
con1,Control,9,Possible doublet / hepatocyte ambient-contaminated neutrophil,1,-0.6824373055998776,0.4417447960628569,-0.29156875398056165,0.45064577768709957,-0.3785349261801426,-0.8495171301643478,0.17576383701627218,-0.43153932502187886
