"source","target","ligand","receptor","pathway_name","annotation","score_control","exprL_control","exprR_control","score_apap","exprL_apap","exprR_apap","delta_score","max_score","axis"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a2","Cd44","COLLAGEN","ECM-Receptor",2.61341293942514,2.85012115663652,0.916948015820241,3.22180346734159,2.97169904088111,1.08416209818688,0.608390527916448,3.22180346734159,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Monocyte-derived macrophage / DC-like","NK cell","Clec2d","Klrb1c","CLEC","Cell-Cell Contact",1.43496980558508,0.727150780284768,1.97341437909634,0.878742121426353,0.527729854792927,1.66513626895556,-0.556227684158731,1.43496980558508,"Monocyte-derived macrophage / DC-like -> NK cell"
"Activated neutrophil","Endothelial","Sirpb1b","Cd47","SIRP","Cell-Cell Contact",1.47654133731805,0.74491816367815,1.9821524152766,0.94469474175734,0.483973293492906,1.95195634647387,-0.531846595560714,1.47654133731805,"Activated neutrophil -> Endothelial"
"Kupffer cell","Neutrophil","Cxcl2","Cxcr2","CXCL","Secreted Signaling",0.460991290381552,0.322049119446813,1.43143161258569,0.979966314148019,0.852408310839509,1.14964425110178,0.518975023766468,0.979966314148019,"Kupffer cell -> Neutrophil"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a1","Sdc4","COLLAGEN","ECM-Receptor",0.566368793027083,2.19413142556271,0.258128928116433,1.07332577805748,2.73063809968843,0.393067751519305,0.506956985030393,1.07332577805748,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Monocyte-derived macrophage / DC-like","T cell","Cxcl16","Cxcr6","CXCL","Secreted Signaling",1.02292205402052,0.780288044090773,1.31095441198573,0.538648304806361,0.680973153124461,0.790997857015243,-0.484273749214154,1.02292205402052,"Monocyte-derived macrophage / DC-like -> T cell"
"Activated neutrophil","Endothelial","Thbs1","Cd47","THBS","ECM-Receptor",1.1495242215841,0.579937351297825,1.9821524152766,1.62778497301371,0.833924885643182,1.95195634647387,0.478260751429612,1.62778497301371,"Activated neutrophil -> Endothelial"
"Monocyte-derived macrophage / DC-like","NK cell","Cxcl16","Cxcr6","CXCL","Secreted Signaling",0.911813736845832,0.780288044090773,1.16856043579178,0.450244070767079,0.680973153124461,0.661177417496206,-0.461569666078753,0.911813736845832,"Monocyte-derived macrophage / DC-like -> NK cell"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Thbs2","Cd47","THBS","ECM-Receptor",1.02214286130838,0.717798732096703,1.42399647088075,0.562223634544768,0.35659184646555,1.57665869289326,-0.459919226763617,1.02214286130838,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Thbs2","Cd47","THBS","ECM-Receptor",1.21478486992425,0.717798732096703,1.69237533531975,0.772723256728118,0.35659184646555,2.16696838244385,-0.442061613196132,1.21478486992425,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a2","Sdc4","COLLAGEN","ECM-Receptor",0.735698719164553,2.85012115663652,0.258128928116433,1.16807906019121,2.97169904088111,0.393067751519305,0.43238034102666,1.16807906019121,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Thbs2","Cd36","THBS","ECM-Receptor",0.62507940236684,0.717798732096703,0.870828234177805,0.211862965004623,0.35659184646555,0.594132948087725,-0.413216437362217,0.62507940236684,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Endothelial","Angptl4","Cdh5","ANGPTL","Secreted Signaling",1.02133681850429,0.574668890377059,1.77726136842759,0.611118942245725,0.389368290759014,1.56951389404217,-0.410217876258569,1.02133681850429,"Fibroblast / stellate -> Endothelial"
"Kupffer cell","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",2.57182833877469,1.39020400993156,1.84996469611774,2.17102631905909,1.44756761424935,1.49977541476354,-0.400802019715605,2.57182833877469,"Kupffer cell -> Endothelial"
"Activated neutrophil","Endothelial","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",1.18471379275682,0.597690562857902,1.9821524152766,0.784209451984217,0.401755630140427,1.95195634647387,-0.400504340772602,1.18471379275682,"Activated neutrophil -> Endothelial"
"Monocyte-derived macrophage / DC-like","T cell","Ccl6","Ccr2","CCL","Secreted Signaling",1.21532391639408,1.86059226624406,0.653191963894074,0.835936501747864,1.73418214794081,0.482035005804013,-0.379387414646216,1.21532391639408,"Monocyte-derived macrophage / DC-like -> T cell"
"Monocyte-derived macrophage / DC-like","T cell","H2-Aa","Cd4","MHC-II","Cell-Cell Contact",1.17369530743507,3.78770933006281,0.309869423748947,0.794546584780354,3.81029754197646,0.208526125854258,-0.379148722654719,1.17369530743507,"Monocyte-derived macrophage / DC-like -> T cell"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Fn1","Cd44","FN1","ECM-Receptor",0.778513420621398,0.849026779260754,0.916948015820241,1.15556087060176,1.06585617827287,1.08416209818688,0.377047449980366,1.15556087060176,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Angptl4","Sdc3","ANGPTL","Secreted Signaling",1.18419073165815,0.574668890377059,2.06064875180762,0.81599225144653,0.389368290759014,2.09568234191818,-0.368198480211624,1.18419073165815,"Fibroblast / stellate -> Kupffer cell"
