"source","target","ligand","receptor","pathway_name","annotation","expr_ligand","expr_receptor","interaction_score","group"
"Fibroblast / stellate","Endothelial","Selplg","Selp","SELPLG","Cell-Cell Contact",0.229442220211806,0.321560171622231,0.073779479708694,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Cx3cl1","Cx3cr1","CX3C","Secreted Signaling",0.0936000847069254,0.786357190328798,0.0736030996246754,"Control"
"Fibroblast / stellate","Kupffer cell","Bst2","Pira2","BST2","Cell-Cell Contact",0.856279099794938,0.0857959755223231,0.0734653006862833,"Control"
"Activated neutrophil","Endothelial","Ccl5","Ackr2","CCL","Secreted Signaling",0.951335662374377,0.0768267940868213,0.073088069040686,"Control"
"Kupffer cell","Endothelial","App","Sorl1","APP","Cell-Cell Contact",1.10376348445263,0.0659587519199984,0.0728028618493639,"Control"
"Activated neutrophil","Endothelial","Sema4a","Plxnb2","SEMA4","Cell-Cell Contact",0.339531184858424,0.214288102091404,0.0727574932041573,"Control"
"Kupffer cell","Inflammatory neutrophil","Angptl7","Pirb","ANGPTL","Secreted Signaling",0.0523956068073068,1.37692089055247,0.072144605586154,"Control"
"Activated neutrophil","Endothelial","Clec2i","Klrb1c","CLEC","Cell-Cell Contact",0.502516321622753,0.143414446598109,0.0720681001720443,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Thbs3","Sdc4","THBS","ECM-Receptor",0.278496795970041,0.258128928116433,0.0718880794276076,"Control"
"Kupffer cell","Endothelial","Klk8","F2r","KLK","Secreted Signaling",0.0587633656584582,1.22133417152865,0.0717697065127084,"Control"
"Activated neutrophil","Endothelial","H2-Q10","Cd8b1","MHC-I","Cell-Cell Contact",1.1960755233334,0.0597017857038804,0.071407844579707,"Control"
"Fibroblast / stellate","Kupffer cell","Il34","Csf1r","CSF","Secreted Signaling",0.0309906624189172,2.30049717092982,0.0712939312199601,"Control"
"Neutrophil","Endothelial","Ccl5","Ackr2","CCL","Secreted Signaling",0.926670803483494,0.0768267940868213,0.0711931470054956,"Control"
"Fibroblast / stellate","Endothelial","Lama2","Cd44","LAMININ","ECM-Receptor",0.597738967807342,0.118274701654656,0.0706973980847756,"Control"
"Kupffer cell","Neutrophil","Col4a2","Cd44","COLLAGEN","ECM-Receptor",0.0636882700238032,1.10688619067591,0.0704956665973861,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Grn","Sort1","GRN","Secreted Signaling",0.948282200488608,0.0742049429654264,0.0703672266023861,"Control"
"Kupffer cell","Endothelial","Ptprc","Cd22","CD45","Cell-Cell Contact",1.39020400993156,0.0503242853661223,0.0699610233129231,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Ccl3","Ccr1","CCL","Secreted Signaling",0.120168213394548,0.576393579878872,0.0692641867061317,"Control"
"Kupffer cell","Inflammatory neutrophil","Plau","Plaur","PLAU","Secreted Signaling",0.0716484977621822,0.965660035180461,0.0691880908696561,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Thbs1","Cd36","THBS","ECM-Receptor",0.259498942707518,0.266340916365171,0.0691151861965134,"Control"
"Kupffer cell","Neutrophil","Ccl2","Ccr2","CCL","Secreted Signaling",0.28221201051044,0.244237311490124,0.0689267027172924,"Control"
"Fibroblast / stellate","Kupffer cell","H2-Aa","Cd4","MHC-II","Cell-Cell Contact",0.977909687147562,0.0703194807509973,0.0687661014215868,"Control"
"Kupffer cell","Endothelial","Jam2","F11r","JAM","Cell-Cell Contact",0.0888672280049743,0.770090083280469,0.0684357710152551,"Control"
"Kupffer cell","Neutrophil","Angptl7","Pirb","ANGPTL","Secreted Signaling",0.0523956068073068,1.29494559642043,0.0678494603068983,"Control"
"Inflammatory neutrophil","Endothelial","Klk8","F2r","KLK","Secreted Signaling",0.0551988257507781,1.22133417152865,0.0674162121176811,"Control"
"Activated neutrophil","Endothelial","F2","F2r","PARs","Secreted Signaling",0.0550857270963025,1.22133417152865,0.0672780808662161,"Control"
"Fibroblast / stellate","Kupffer cell","Angptl4","Sdc2","ANGPTL","Secreted Signaling",0.574668890377059,0.117056767652268,0.067268882777854,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Thbs1","Sdc4","THBS","ECM-Receptor",0.259498942707518,0.258128928116433,0.0669841839284393,"Control"
"Neutrophil","Endothelial","Jam2","Jam2","JAM","Cell-Cell Contact",0.0337113815428663,1.98549961091964,0.0669339349369245,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","H2-Aa","Cd4","MHC-II","Cell-Cell Contact",0.977909687147562,0.0681713009395307,0.0666653755742187,"Control"
"Kupffer cell","Endothelial","Ccl6","Ccr1","CCL","Secreted Signaling",2.4080777196002,0.0276268311109406,0.0665275564614139,"Control"
"Inflammatory neutrophil","Endothelial","Ccl3","Ackr2","CCL","Secreted Signaling",0.860897604135645,0.0768267940868213,0.066140002962767,"Control"
"Fibroblast / stellate","Endothelial","Thbs4","Cd36","THBS","ECM-Receptor",0.0381334081385731,1.72380716617316,0.065734642219878,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","Tnf","Tnfrsf1a","TNF","Secreted Signaling",0.236843629007129,0.277088362708176,0.065626613379448,"Control"
"Fibroblast / stellate","Endothelial","Angpt1","Tek","ANGPT","Secreted Signaling",0.0643939725337057,1.01908158702009,0.0656227117241767,"Control"
"Fibroblast / stellate","Endothelial","Lamc1","Cd44","LAMININ","ECM-Receptor",0.55480096317637,0.118274701654656,0.0656189183974011,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a2","Sdc1","COLLAGEN","ECM-Receptor",2.85012115663652,0.0230190414117602,0.06560705693315,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","H2-Q7","Cd8b1","MHC-I","Cell-Cell Contact",0.646554000294691,0.101361211858441,0.0655354970017926,"Control"
"Fibroblast / stellate","Kupffer cell","Pecam1","Cd38","PECAM2","Cell-Cell Contact",0.0544482371949951,1.20311234933187,0.0655073465686493,"Control"
"Kupffer cell","Inflammatory neutrophil","Cd52","Siglecg","CD52","Cell-Cell Contact",1.80586527059432,0.0360805298765712,0.0651565758487406,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Angptl1","Pirb","ANGPTL","Secreted Signaling",0.0632704182505533,1.0293588861275,0.0651279672552108,"Control"
"Fibroblast / stellate","Endothelial","Col6a5","Cd44","COLLAGEN","ECM-Receptor",0.550334709363192,0.118274701654656,0.0650906735601335,"Control"
"Fibroblast / stellate","Kupffer cell","Prnp","Adgrg6","ADGRG","Cell-Cell Contact",1.02624928897421,0.0633281074019202,0.0649904251933031,"Control"
"Kupffer cell","Endothelial","H2-Aa","Cd4","MHC-II","Cell-Cell Contact",2.11342996049006,0.030644787854071,0.0647656127836557,"Control"
"Activated neutrophil","Endothelial","Selplg","Sele","SELPLG","Cell-Cell Contact",1.66442503064188,0.0388467802114414,0.0646575533437667,"Control"
"Activated neutrophil","Endothelial","Ccl5","Ackr1","CCL","Secreted Signaling",0.951335662374377,0.0679072437646609,0.064602582726872,"Control"
"Fibroblast / stellate","Kupffer cell","Thbs4","Cd47","THBS","ECM-Receptor",0.0381334081385731,1.69237533531975,0.0645360393854025,"Control"
"Fibroblast / stellate","Endothelial","Lama4","Dag1","LAMININ","ECM-Receptor",0.265314819099043,0.242961806378905,0.0644613677073958,"Control"
"Activated neutrophil","Endothelial","Ccl6","Ccr1","CCL","Secreted Signaling",2.33041093240473,0.0276268311109406,0.0643818692486351,"Control"
"Kupffer cell","Inflammatory neutrophil","H2-T23","Cd8a","MHC-I","Cell-Cell Contact",1.40216993272722,0.0458692806458104,0.064316526157382,"Control"
"Neutrophil","Endothelial","Lgals9","Cd44","GALECTIN","Secreted Signaling",0.542941189082361,0.118274701654656,0.0642162071547406,"Control"
"Inflammatory neutrophil","Endothelial","Ccl4","Ackr2","CCL","Secreted Signaling",0.832099059515728,0.0768267940868213,0.0639275031052525,"Control"
"Fibroblast / stellate","Endothelial","Col6a2","Sdc1","COLLAGEN","ECM-Receptor",1.26453267483292,0.0505381604403783,0.063907155202807,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Sell","Cd34","SELL","Cell-Cell Contact",0.252619925570343,0.252405132892899,0.0637625658849768,"Control"
"Inflammatory neutrophil","Endothelial","Retn","Cap1","RESISTIN","Secreted Signaling",0.180422509994252,0.353369072566216,0.0637557350267375,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Jam2","F11r","JAM","Cell-Cell Contact",0.154297694213869,0.409883307200562,0.0632440491978016,"Control"
"Monocyte-derived macrophage / DC-like","T cell","Gdf15","Tgfbr2","GDF","Secreted Signaling",0.171745567068653,0.367930161823493,0.0631903742840371,"Control"
"Neutrophil","Endothelial","Ccl5","Ackr1","CCL","Secreted Signaling",0.926670803483494,0.0679072437646609,0.0629276601417478,"Control"
"Activated neutrophil","Endothelial","Jam2","Jam2","JAM","Cell-Cell Contact",0.0316602079133302,1.98549961091964,0.062861330493552,"Control"
"Fibroblast / stellate","Kupffer cell","Col1a2","Sdc1","COLLAGEN","ECM-Receptor",2.85012115663652,0.0220167317348847,0.0627503529175854,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","Cxcl10","Cxcr3","CXCL","Secreted Signaling",0.0808637390543782,0.774595613560738,0.0626366975676415,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Ccl3","Ccr5","CCL","Secreted Signaling",0.120168213394548,0.520741404406796,0.0625765642081325,"Control"
"Inflammatory neutrophil","Endothelial","Clec2d","Klrb1c","CLEC","Cell-Cell Contact",0.432698007199817,0.143414446598109,0.0620551452466662,"Control"
"Kupffer cell","Neutrophil","Apoa1","Abca1","ApoA","Cell-Cell Contact",0.937914980869283,0.0660234226171381,0.0619243571608776,"Control"
"Fibroblast / stellate","Kupffer cell","Selplg","Sell","SELPLG","Cell-Cell Contact",0.229442220211806,0.269645999166747,0.0618681767200491,"Control"
"Kupffer cell","Endothelial","H2-Ab1","Cd4","MHC-II","Cell-Cell Contact",2.01834574026784,0.030644787854071,0.0618517770266758,"Control"
"Inflammatory neutrophil","Endothelial","H2-K1","Cd8a","MHC-I","Cell-Cell Contact",2.24304072614881,0.0275545076472708,0.0618058828418072,"Control"
"Inflammatory neutrophil","Endothelial","Sema4d","Plxnb2","SEMA4","Cell-Cell Contact",0.286934910496649,0.214288102091404,0.0614867373940939,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Clec2d","Klrb1c","CLEC","Cell-Cell Contact",0.767110721330735,0.0798814439099676,0.061277912058716,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","Ceacam1","Cd8a","CEACAM","Cell-Cell Contact",0.178954644622282,0.341901737974622,0.0611849040149889,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col6a6","Sdc4","COLLAGEN","ECM-Receptor",0.235300415111867,0.258128928116433,0.060737843938178,"Control"
"Fibroblast / stellate","Kupffer cell","H2-Q7","Cd8b1","MHC-I","Cell-Cell Contact",0.646554000294691,0.0937943174670654,0.0606430911632413,"Control"
"Kupffer cell","Endothelial","Ccl24","Ackr2","CCL","Secreted Signaling",0.787651529621,0.0768267940868213,0.0605127418783624,"Control"
"Fibroblast / stellate","Endothelial","H2-K1","Cd8a","MHC-I","Cell-Cell Contact",2.18992430534418,0.0275545076472708,0.0603422860185504,"Control"
"Fibroblast / stellate","Endothelial","Angptl2","Tlr4","ANGPTL","Secreted Signaling",0.521146214512978,0.115735617263834,0.0603151788213701,"Control"
"Fibroblast / stellate","Endothelial","Col4a5","Sdc4","COLLAGEN","ECM-Receptor",0.384165820606749,0.15676684717047,0.0602244644871765,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col3a1","Adgrg1","ADGRG","Cell-Cell Contact",2.80876021242036,0.0213976617008793,0.0601009008242607,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Cd200","Cd200r1","CD200","Cell-Cell Contact",0.446240446290567,0.13429552867948,0.059928096652759,"Control"
"Monocyte-derived macrophage / DC-like","T cell","Cxcl10","Cxcr3","CXCL","Secreted Signaling",0.0808637390543782,0.7372817505657,0.0596193590872999,"Control"
"Fibroblast / stellate","Endothelial","Cdh5","Cdh5","CDH5","Cell-Cell Contact",0.0333392092848367,1.77726136842759,0.0592524887158626,"Control"
"Kupffer cell","Inflammatory neutrophil","Sirpb1b","Cd47","SIRP","Cell-Cell Contact",0.0735042589423239,0.805310866304129,0.0591937784458859,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Anxa1","Fpr1","ANNEXIN","Secreted Signaling",1.0522063848693,0.0561758504279122,0.0591085884957119,"Control"
"Activated neutrophil","Endothelial","Mif","Ackr3","MIF","Secreted Signaling",0.462439104926147,0.1271997937928,0.058822158788333,"Control"
"Fibroblast / stellate","Kupffer cell","H2-Ab1","Cd4","MHC-II","Cell-Cell Contact",0.835286808381957,0.0703194807509973,0.058736934643577,"Control"
"Kupffer cell","Endothelial","Vegfa","Kdr","VEGF","Secreted Signaling",0.024058052506524,2.43543788349776,0.0585918924775668,"Control"
"Fibroblast / stellate","Kupffer cell","Angptl1","Pirb","ANGPTL","Secreted Signaling",0.0632704182505533,0.92587170653544,0.0585802901188508,"Control"
"Fibroblast / stellate","Kupffer cell","H2-Eb1","Cd4","MHC-II","Cell-Cell Contact",0.826082193341616,0.0703194807509973,0.0580896708934274,"Control"
"Fibroblast / stellate","Endothelial","H2-T23","Cd8b1","MHC-I","Cell-Cell Contact",0.971770862414064,0.0597017857038804,0.0580164557811195,"Control"
"Neutrophil","Endothelial","Thbs1","Sdc1","THBS","ECM-Receptor",1.14725152079773,0.0505381604403783,0.0579799814235435,"Control"
"Kupffer cell","Inflammatory neutrophil","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",0.0715480080254923,0.805310866304129,0.057618388325344,"Control"
"Kupffer cell","Neutrophil","H2-DMa","Cd4","MHC-II","Cell-Cell Contact",0.840590023988078,0.0683650955951087,0.0574670173462396,"Control"
"Fibroblast / stellate","Kupffer cell","Col4a5","Sdc4","COLLAGEN","ECM-Receptor",0.384165820606749,0.148801288233566,0.0571643690015893,"Control"
"Fibroblast / stellate","Endothelial","Col4a1","Adgrg6","ADGRG","Cell-Cell Contact",1.49399434609466,0.0382098536418932,0.0570853053060928,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","H2-Ab1","Cd4","MHC-II","Cell-Cell Contact",0.835286808381957,0.0681713009395307,0.0569425883850265,"Control"
"Inflammatory neutrophil","Endothelial","Sema6b","Plxna2","SEMA6","Cell-Cell Contact",0.107018496005136,0.528599738906128,0.0565699490464416,"Control"
"Kupffer cell","Neutrophil","Cxcl1","Cxcr2","CXCL","Secreted Signaling",0.0394960110580571,1.43143161258569,0.0565358387995367,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","H2-Eb1","Cd4","MHC-II","Cell-Cell Contact",0.826082193341616,0.0681713009395307,0.0563150978030788,"Control"
"Kupffer cell","Endothelial","Efnb1","Ephb4","EPHB","Cell-Cell Contact",0.0544694982546952,1.03305119493837,0.0562697802597066,"Control"
"Fibroblast / stellate","Endothelial","Mdk","Sdc4","MK","Secreted Signaling",0.357590768249683,0.15676684717047,0.0560583773157691,"Control"
"Inflammatory neutrophil","Endothelial","Ccl5","Ccr5","CCL","Secreted Signaling",1.26485900526501,0.0443074661259634,0.056042697529899,"Control"
"Inflammatory neutrophil","Endothelial","H2-T23","Cd8b1","MHC-I","Cell-Cell Contact",0.935868207591667,0.0597017857038804,0.0558730031767124,"Control"
"Kupffer cell","Neutrophil","H2-D1","Cd8a","MHC-I","Cell-Cell Contact",3.65526895045762,0.0152814063171666,0.0558576500304661,"Control"
"Fibroblast / stellate","Kupffer cell","Lama2","Dag1","LAMININ","ECM-Receptor",0.597738967807342,0.0932821668958207,0.05575838615514,"Control"
"Activated neutrophil","Endothelial","Lta","Tnfrsf1a","LT","Secreted Signaling",0.0430693021692704,1.29293410278345,0.055685769557735,"Control"
"Kupffer cell","Inflammatory neutrophil","Apob","Apobr","ApoB","Cell-Cell Contact",0.123146193635573,0.450067854607807,0.0554241431726798,"Control"
"Fibroblast / stellate","Endothelial","Lgals9","Cd44","GALECTIN","Secreted Signaling",0.463712039782141,0.118274701654656,0.0548454031589049,"Control"
"Kupffer cell","Neutrophil","Ceacam1","Ceacam1","CEACAM","Cell-Cell Contact",0.0774672174044129,0.707930897528981,0.0548414367461787,"Control"
"Activated neutrophil","Endothelial","Cd52","Siglecg","CD52","Cell-Cell Contact",3.1176393300871,0.0175158947193208,0.0546082422786196,"Control"
"Kupffer cell","Inflammatory neutrophil","Lamb2","Cd44","LAMININ","ECM-Receptor",0.0296023828077986,1.84427299315284,0.0545948751453948,"Control"
"Neutrophil","Endothelial","F11r","F11r","JAM","Cell-Cell Contact",0.0708384493071523,0.770090083280469,0.0545519873264043,"Control"
"Fibroblast / stellate","Kupffer cell","Lamb3","Cd44","LAMININ","ECM-Receptor",0.0379614723817068,1.43466807631563,0.0544621125559721,"Control"
"Kupffer cell","Inflammatory neutrophil","Ptprc","Cd22","CD45","Cell-Cell Contact",1.39020400993156,0.0391635873130244,0.0544453761258711,"Control"
"Neutrophil","Endothelial","Cxcl2","Ackr1","CXCL","Secreted Signaling",0.801621112740983,0.0679072437646609,0.0544358803098006,"Control"
"Inflammatory neutrophil","Endothelial","F11r","F11r","JAM","Cell-Cell Contact",0.0706139406570287,0.770090083280469,0.0543790954413333,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Thbs4","Cd47","THBS","ECM-Receptor",0.0381334081385731,1.42399647088075,0.0543018386119834,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Sema3c","Plxnd1","SEMA3","Secreted Signaling",0.238199363305716,0.227371365459641,0.0541597144864377,"Control"
"Fibroblast / stellate","Endothelial","Lamb1","Cd44","LAMININ","ECM-Receptor",0.454791933166704,0.118274701654656,0.0537903802102364,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","H2-Q4","Cd8b1","MHC-I","Cell-Cell Contact",0.528516795521007,0.101361211858441,0.053571102881549,"Control"
"Kupffer cell","Endothelial","Ptprm","Ptprm","PTPRM","Cell-Cell Contact",0.239452720091412,0.223449881155467,0.0535056818467793,"Control"
"Fibroblast / stellate","Kupffer cell","Mdk","Sdc4","MK","Secreted Signaling",0.357590768249683,0.148801288233566,0.0532099669759835,"Control"
"Kupffer cell","Neutrophil","Lair1","Pira2","LAIR1","Cell-Cell Contact",0.886855761001148,0.0598996010591469,0.053122306280975,"Control"
"Neutrophil","Endothelial","H2-K1","Cd8a","MHC-I","Cell-Cell Contact",1.92560734883082,0.0275545076472708,0.0530591624189997,"Control"
"Neutrophil","Endothelial","Clec2d","Klrb1c","CLEC","Cell-Cell Contact",0.369571395350535,0.143414446598109,0.0530018771426877,"Control"
"Inflammatory neutrophil","Endothelial","Cd52","Siglecg","CD52","Cell-Cell Contact",3.02296687127986,0.0175158947193208,0.0529499694573326,"Control"
"Kupffer cell","Neutrophil","Apob","Apobr","ApoB","Cell-Cell Contact",0.123146193635573,0.428673790669685,0.052789545632304,"Control"
"Neutrophil","Endothelial","Cd52","Siglecg","CD52","Cell-Cell Contact",3.00710620054341,0.0175158947193208,0.0526721556185352,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Icam1","Spn","ICAM","Cell-Cell Contact",0.21721484498164,0.242410671819803,0.0526551965012337,"Control"
"Monocyte-derived macrophage / DC-like","T cell","Clec2d","Klrb1f","CLEC","Cell-Cell Contact",0.727150780284768,0.0722663428552869,0.0525485275955484,"Control"
"Inflammatory neutrophil","Endothelial","Ceacam1","Ceacam1","CEACAM","Cell-Cell Contact",0.221787661229894,0.236217805202673,0.0523901945567597,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Lamc3","Cd44","LAMININ","ECM-Receptor",0.0570004975421506,0.916948015820241,0.0522664931220415,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Angptl2","Tlr4","ANGPTL","Secreted Signaling",0.521146214512978,0.0994289378448444,0.0518170145708868,"Control"
"Fibroblast / stellate","Kupffer cell","Lamc1","Dag1","LAMININ","ECM-Receptor",0.55480096317637,0.0932821668958207,0.0517530360409802,"Control"
"Fibroblast / stellate","Kupffer cell","Col4a2","Adgrg6","ADGRG","Cell-Cell Contact",0.811613267312486,0.0633281074019202,0.0513979321611885,"Control"
"Kupffer cell","Inflammatory neutrophil","Selplg","Selp","SELPLG","Cell-Cell Contact",0.57803424938544,0.0888629907473578,0.0513658521547943,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Ptprc","Cd22","CD45","Cell-Cell Contact",0.364333494945574,0.140641130876774,0.051240274745433,"Control"
"Fibroblast / stellate","Kupffer cell","Sema4d","Plxnb2","SEMA4","Cell-Cell Contact",0.0812396862352612,0.628792402212328,0.0510828974628457,"Control"
"Kupffer cell","Endothelial","Cadm1","Cadm1","CADM","Cell-Cell Contact",0.89761834502052,0.0566361952252177,0.0508376878263189,"Control"
"Fibroblast / stellate","Kupffer cell","F11r","F11r","JAM","Cell-Cell Contact",0.229576852296111,0.221330431991895,0.0508123438940377,"Control"
"Kupffer cell","Endothelial","Ccl5","Ccr5","CCL","Secreted Signaling",1.14632273503975,0.0443074661259634,0.0507906557521955,"Control"
"Inflammatory neutrophil","Endothelial","Lgals9","Cd44","GALECTIN","Secreted Signaling",0.427103172248533,0.118274701654656,0.0505155002734526,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a1","Sdc1","COLLAGEN","ECM-Receptor",2.19413142556271,0.0230190414117602,0.0505068021478725,"Control"
"Fibroblast / stellate","Kupffer cell","Sema4c","Plxnb2","SEMA4","Cell-Cell Contact",0.0799097472243957,0.628792402212328,0.0502466419174077,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","H2-T23","Cd8a","MHC-I","Cell-Cell Contact",0.971770862414064,0.0516086565343174,0.0501517886683848,"Control"
"Kupffer cell","Endothelial","Ccl4","Ackr2","CCL","Secreted Signaling",0.65275068338771,0.0768267940868213,0.0501487423426594,"Control"
"Kupffer cell","Inflammatory neutrophil","Pf4","Cxcr3","CXCL","Secreted Signaling",0.420644212805408,0.11806772050695,0.049664503350375,"Control"
"Fibroblast / stellate","Kupffer cell","Lama5","Cd44","LAMININ","ECM-Receptor",0.0345544141300383,1.43466807631563,0.0495741148481556,"Control"
"Fibroblast / stellate","Kupffer cell","H2-Q4","Cd8b1","MHC-I","Cell-Cell Contact",0.528516795521007,0.0937943174670654,0.0495718721057734,"Control"
"Kupffer cell","Endothelial","Cadm1","Nectin3","CADM","Cell-Cell Contact",0.89761834502052,0.0551989568987535,0.0495475963383181,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Cadm1","Cadm1","CADM","Cell-Cell Contact",0.164681508309157,0.300854888326181,0.0495452367917383,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Flt3l","Flt3","FLT3","Secreted Signaling",0.107805564411114,0.458915597895626,0.0494736550482019,"Control"
"Inflammatory neutrophil","Endothelial","App","Sorl1","APP","Cell-Cell Contact",0.749445112553985,0.0659587519199984,0.0494324642566036,"Control"
"Fibroblast / stellate","Endothelial","Ccl5","Ccr5","CCL","Secreted Signaling",1.1138350221399,0.0443074661259634,0.0493512075133754,"Control"
"Kupffer cell","Endothelial","Sema6d","Plxna1","SEMA6","Cell-Cell Contact",0.823304672666772,0.0598679961375165,0.0492896009632136,"Control"
"Inflammatory neutrophil","Endothelial","Cd55","Adgre5","ADGRE","Cell-Cell Contact",0.0794641624291211,0.620208813955633,0.049284373932143,"Control"
"Activated neutrophil","Endothelial","Vegfb","Flt1","VEGF","Secreted Signaling",0.0279348867122704,1.7616591104752,0.0492117476767638,"Control"
"Neutrophil","Endothelial","H2-T23","Cd8b1","MHC-I","Cell-Cell Contact",0.820893864738246,0.0597017857038804,0.049008829598233,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Ccl19","Ccr7","CCL","Secreted Signaling",0.341011299807222,0.143531789793202,0.0489459622010368,"Control"
"Inflammatory neutrophil","Endothelial","Esam","Esam","ESAM","Cell-Cell Contact",0.0289133531206462,1.6890493671705,0.0488360807912046,"Control"
"Kupffer cell","Endothelial","Ccl3","Ackr2","CCL","Secreted Signaling",0.634960882924386,0.0768267940868213,0.048782009005618,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","Tnf","Tnfrsf1b","TNF","Secreted Signaling",0.236843629007129,0.205176009381375,0.0485946306470855,"Control"
"Fibroblast / stellate","Kupffer cell","Wnt5a","Fzd7","ncWNT","Secreted Signaling",0.327768933784845,0.147654437667923,0.0483965376030159,"Control"
"Kupffer cell","Neutrophil","H2-T23","Cd8b1","MHC-I","Cell-Cell Contact",1.40216993272722,0.0344751371396573,0.048340000723875,"Control"
"Fibroblast / stellate","Kupffer cell","Col1a1","Sdc1","COLLAGEN","ECM-Receptor",2.19413142556271,0.0220167317348847,0.0483076029876942,"Control"
"Kupffer cell","Inflammatory neutrophil","App","Tnfrsf21","APP","Cell-Cell Contact",1.10376348445263,0.0433853231239254,0.047887135425367,"Control"
"Kupffer cell","Neutrophil","Siglec1","Spn","SN","Cell-Cell Contact",0.300110492221217,0.159405371780994,0.0478392245879,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","Ccl6","Ccr1","CCL","Secreted Signaling",1.86059226624406,0.0256027983302222,0.0476363685674176,"Control"
"Kupffer cell","Endothelial","H2-Eb1","Cd4","MHC-II","Cell-Cell Contact",1.5367303452253,0.030644787854071,0.0470927754183425,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","Gdf15","Tgfbr2","GDF","Secreted Signaling",0.171745567068653,0.272472363694572,0.0467959206132605,"Control"
"Kupffer cell","Inflammatory neutrophil","Lair1","Pira2","LAIR1","Cell-Cell Contact",0.886855761001148,0.0523237381047396,0.0464036085753036,"Control"
"Fibroblast / stellate","Kupffer cell","Jam3","F11r","JAM","Cell-Cell Contact",0.208873069590259,0.221330431991895,0.0462299667238851,"Control"
"Fibroblast / stellate","Endothelial","Vegfb","Flt1","VEGF","Secreted Signaling",0.0261560056130423,1.7616591104752,0.0460779655818565,"Control"
"Fibroblast / stellate","Endothelial","Lamb2","Cd44","LAMININ","ECM-Receptor",0.388450312594492,0.118274701654656,0.0459438448297716,"Control"
"Activated neutrophil","Endothelial","H2-Q6","Cd8b1","MHC-I","Cell-Cell Contact",0.769343941960956,0.0597017857038804,0.0459312071555316,"Control"
"Activated neutrophil","Endothelial","Ccl4","Ackr2","CCL","Secreted Signaling",0.596945594466739,0.0768267940868213,0.0458614162671313,"Control"
"Fibroblast / stellate","Kupffer cell","Hspg2","Dag1","HSPG","ECM-Receptor",0.491207898988822,0.0932821668958207,0.0458209372140207,"Control"
"Fibroblast / stellate","Endothelial","Col4a5","Cd44","COLLAGEN","ECM-Receptor",0.384165820606749,0.118274701654656,0.0454370978181795,"Control"
"Activated neutrophil","Endothelial","H2-Q4","Cd8b1","MHC-I","Cell-Cell Contact",0.75883564492071,0.0597017857038804,0.0453038430575222,"Control"
"Kupffer cell","Neutrophil","H2-K1","Cd8a","MHC-I","Cell-Cell Contact",2.9582110258657,0.0152814063171666,0.045205624658176,"Control"
"Fibroblast / stellate","Kupffer cell","Cd200","Cd200r1","CD200","Cell-Cell Contact",0.446240446290567,0.100866456822786,0.0450106927083484,"Control"
"Fibroblast / stellate","Endothelial","Nrxn2","Dag1","NRXN","Cell-Cell Contact",0.184939350948099,0.242961806378905,0.0449331987768923,"Control"
