"source","target","ligand","receptor","pathway_name","annotation","expr_ligand","expr_receptor","interaction_score","group"
"Fibroblast / stellate","Endothelial","Col6a1","Sdc4","COLLAGEN","ECM-Receptor",1.53534218195247,0.15676684717047,0.24069075319252,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Rarres2","Cmklr1","CHEMERIN","Secreted Signaling",1.67112562434751,0.14362881599816,0.240021794809219,"Control"
"Fibroblast / stellate","Kupffer cell","App","Sorl1","APP","Cell-Cell Contact",1.94126929343418,0.121633948026614,0.236124248343235,"Control"
"Inflammatory neutrophil","Endothelial","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.92364983655955,0.0597017857038804,0.234248901719344,"Control"
"Fibroblast / stellate","Endothelial","Col4a1","Sdc4","COLLAGEN","ECM-Receptor",1.49399434609466,0.15676684717047,0.234208783327768,"Control"
"Fibroblast / stellate","Endothelial","Vegfd","Flt4","VEGF","Secreted Signaling",0.20946681415215,1.11673695908359,0.233919333065199,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Ptn","Ncl","PTN","Secreted Signaling",0.14931547590123,1.56404256282398,0.233535759597842,"Control"
"Fibroblast / stellate","Kupffer cell","Angptl7","Pirb","ANGPTL","Secreted Signaling",0.250081476584804,0.92587170653544,0.231543363498475,"Control"
"Fibroblast / stellate","Endothelial","Lpar1","Adgre5","ADGRE","Cell-Cell Contact",0.372218055528436,0.620208813955633,0.230852918752163,"Control"
"Inflammatory neutrophil","Endothelial","Sell","Cd34","SELL","Cell-Cell Contact",1.82040832436168,0.12607060239603,0.229499974059024,"Control"
"Monocyte-derived macrophage / DC-like","T cell","App","Sorl1","APP","Cell-Cell Contact",0.875239668389198,0.261352627835218,0.228746187319142,"Control"
"Fibroblast / stellate","Kupffer cell","Col6a1","Sdc4","COLLAGEN","ECM-Receptor",1.53534218195247,0.148801288233566,0.228460894553863,"Control"
"Activated neutrophil","Endothelial","Selplg","Sell","SELPLG","Cell-Cell Contact",1.66442503064188,0.136828342521342,0.227740518193762,"Control"
"Neutrophil","Endothelial","Cd55","Adgre5","ADGRE","Cell-Cell Contact",0.367082919194983,0.620208813955633,0.227668061937292,"Control"
"Kupffer cell","Inflammatory neutrophil","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.65526895045762,0.0622476964461677,0.227532072057188,"Control"
"Fibroblast / stellate","Kupffer cell","Thbs1","Cd36","THBS","ECM-Receptor",0.259498942707518,0.870828234177805,0.225979006048995,"Control"
