"source","target","ligand","receptor","pathway_name","annotation","expr_ligand","expr_receptor","interaction_score","group"
"Monocyte-derived macrophage / DC-like","T cell","Spp1","Cd44","SPP1","Secreted Signaling",0.660337139610964,0.501035131322633,0.330852105462191,"APAP"
"Fibroblast / stellate","Endothelial","Lgals9","Ighm","GALECTIN","Secreted Signaling",0.48078718324688,0.687791315706542,0.330681249340214,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Thbs1","Cd47","THBS","ECM-Receptor",0.208571557067399,1.57665869289326,0.328846158540597,"APAP"
"Inflammatory neutrophil","Endothelial","Lgals9","P4hb","GALECTIN","Secreted Signaling",0.449186744764911,0.722868232322592,0.32470282817095,"APAP"
"Fibroblast / stellate","Kupffer cell","Col6a3","Sdc4","COLLAGEN","ECM-Receptor",0.793950774891006,0.408326037755269,0.32419077408397,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.64841591204985,0.08867605455467,0.323527128455059,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",0.288762141909433,1.11672377452478,0.322467549052963,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Tnxb","Sdc4","TENASCIN","ECM-Receptor",0.820107440573363,0.393067751519305,0.322357787670424,"APAP"
"Activated neutrophil","Endothelial","Lgals9","P4hb","GALECTIN","Secreted Signaling",0.443139261200405,0.722868232322592,0.320331294416676,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","Thbs1","Cd47","THBS","ECM-Receptor",0.345862132399642,0.912336879521699,0.31554277861821,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Gas6","Mertk","GAS","Secreted Signaling",1.68321774343069,0.186429418508868,0.313801305131591,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col6a3","Sdc4","COLLAGEN","ECM-Receptor",0.793950774891006,0.393067751519305,0.312076445903417,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Ccl6","Ccr2","CCL","Secreted Signaling",0.226731274180343,1.37383808977177,0.31149206061144,"APAP"
"Kupffer cell","Inflammatory neutrophil","Lgals9","P4hb","GALECTIN","Secreted Signaling",0.865136180901777,0.358766603106688,0.310381968846823,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","H2-DMb1","Cd4","MHC-II","Cell-Cell Contact",1.48362673291534,0.208526125854258,0.309374934828647,"APAP"
"Inflammatory neutrophil","Endothelial","Lgals9","Ighm","GALECTIN","Secreted Signaling",0.449186744764911,0.687791315706542,0.308946742179797,"APAP"
"Activated neutrophil","Endothelial","Lgals9","Ighm","GALECTIN","Secreted Signaling",0.443139261200405,0.687791315706542,0.304787335502251,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","H2-T23","Cd8a","MHC-I","Cell-Cell Contact",1.53997914782992,0.196007723210131,0.301847806557221,"APAP"
"Kupffer cell","Inflammatory neutrophil","Igf1","Igf1r","IGF","Secreted Signaling",0.75730308633581,0.395532461585343,0.29953795390458,"APAP"
