cell_group,level,reason
Cycling neutrophil,myeloid_subtype,"Insufficient samples: 1 Control, 3 APAP"
CCR7+ DC-like antigen-presenting myeloid,myeloid_subtype,"Insufficient samples: 0 Control, 2 APAP"
