analysis_level,cell_group,evidence_source,direction,evidence_detail,confidence
global_celltype,NK cell,pseudobulk_DE,Upregulated,"n_up=98, n_down=90, n_total_tested=10040. Up (FDR<0.05): Acod1, Il1r2, Klf9, Cd14, Cables1; Down (FDR<0.05): Serpina1e, Hamp, Apoa5, Asb2, 2010016I18Rik",High
global_celltype,B cell,composition,Contracted,"delta_proportion = -0.0023; mean_APAP = 0.1688, mean_Control = 0.1710",Uncertain
global_celltype,B cell,module_score,Functional description only,"Up: Neutrophil_inflammation, T_NK_activation, Chemokine_recruitment; Down: ROS_degranulation, Endothelial_activation",Uncertain
global_celltype,B cell,pseudobulk_DE,Upregulated,"n_up=29, n_down=20, n_total_tested=12033. Up (FDR<0.05): Fkbp5, Pex11a, Ptpn22, Il1r2, Cd14; Down (FDR<0.05): Iglj3, Gm47730, Il5ra, Ms4a4c, Iglv1",Uncertain
global_celltype,Fibroblast / stellate,composition,Expanded,"delta_proportion = +0.0024; mean_APAP = 0.0057, mean_Control = 0.0033",Moderate
global_celltype,Fibroblast / stellate,module_score,Functional description only,"Up: Neutrophil_inflammation, IL1_TNF_inflammatory, Chemokine_recruitment; Down: Kupffer_resident_identity, Anti_inflammatory_repair, Phagocytosis_efferocytosis",Moderate
global_celltype,Fibroblast / stellate,pseudobulk_DE,Upregulated,"n_up=8, n_down=3, n_total_tested=4414. Up (FDR<0.05): Rnd1, Mt2, Mt1, Fbxo33, Bcl3; Down (FDR<0.05): Fcna, Cdc42ep3, Lbh",Moderate
myeloid_subtype,Activated neutrophil,composition,Expanded,"delta_proportion = +0.0058; mean_APAP = 0.0099, mean_Control = 0.0040",Moderate
myeloid_subtype,Activated neutrophil,module_score,Functional description only,"Up: Chemokine_recruitment, Neutrophil_inflammation, T_NK_activation; Down: ROS_degranulation, Anti_inflammatory_repair, Tissue_repair_ECM",Moderate
myeloid_subtype,Activated neutrophil,pseudobulk_DE,Upregulated,"n_up=8, n_down=4, n_total_tested=2714. Up (FDR<0.05): Fkbp5, Id2, Ptpn22, Rdh12, Btla; Down (FDR<0.05): Igha, Pilra, Pou2f2, Anxa1",Moderate
myeloid_subtype,Mature neutrophil,composition,Expanded,"delta_proportion = +0.0180; mean_APAP = 0.0561, mean_Control = 0.0380",Low
myeloid_subtype,Mature neutrophil,module_score,Functional description only,"Up: Antigen_presentation, Chemokine_recruitment, IL1_TNF_inflammatory; Down: ROS_degranulation, Neutrophil_inflammation, Anti_inflammatory_repair",Low
myeloid_subtype,Mature neutrophil,pseudobulk_DE,Upregulated,"n_up=1, n_down=0, n_total_tested=2876. Up (FDR<0.05): Klf13",Low
myeloid_subtype,IFN-responsive inflammatory neutrophil,composition,Expanded,"delta_proportion = +0.0022; mean_APAP = 0.0218, mean_Control = 0.0196",Low
myeloid_subtype,IFN-responsive inflammatory neutrophil,module_score,Functional description only,"Up: Neutrophil_inflammation, Antigen_presentation, Anti_inflammatory_repair; Down: IL1_TNF_inflammatory, Chemokine_recruitment, T_NK_activation",Low
myeloid_subtype,IFN-responsive inflammatory neutrophil,pseudobulk_DE,No significant DEGs,0/2132 genes with FDR < 0.05,Low
myeloid_subtype,Activated inflammatory neutrophil,composition,Expanded,"delta_proportion = +0.0014; mean_APAP = 0.0277, mean_Control = 0.0264",Low
myeloid_subtype,Activated inflammatory neutrophil,module_score,Functional description only,"Up: T_NK_activation, Antigen_presentation, Phagocytosis_efferocytosis; Down: ROS_degranulation, IL1_TNF_inflammatory, Anti_inflammatory_repair",Low
myeloid_subtype,Activated inflammatory neutrophil,pseudobulk_DE,No significant DEGs,0/2808 genes with FDR < 0.05,Low
global_celltype,Kupffer cell,composition,Expanded,"delta_proportion = +0.0057; mean_APAP = 0.0224, mean_Control = 0.0167",High
global_celltype,Kupffer cell,module_score,Functional description only,"Up: Neutrophil_inflammation, Antigen_presentation, Kupffer_resident_identity; Down: T_NK_activation, Phagocytosis_efferocytosis, ROS_degranulation",High
global_celltype,Kupffer cell,pseudobulk_DE,Upregulated,"n_up=223, n_down=197, n_total_tested=8977. Up (FDR<0.05): Vdr, Cdkn1a, Trem1, Nfil3, Mkl1; Down (FDR<0.05): Gpnmb, Gm35154, Mmp13, Prr5l, Cyp26b1",High
global_celltype,Neutrophil,composition,Expanded,"delta_proportion = +0.0083; mean_APAP = 0.0122, mean_Control = 0.0039",Low
global_celltype,Neutrophil,module_score,Functional description only,"Up: Antigen_presentation, Chemokine_recruitment, T_NK_activation; Down: Neutrophil_inflammation, Anti_inflammatory_repair, ROS_degranulation",Low
global_celltype,Neutrophil,pseudobulk_DE,No significant DEGs,0/3634 genes with FDR < 0.05,Low
