sample_id,group,myeloid_subtype,n_cells,Kupffer_resident_score1_mean,Monocyte_derived_Mph_score1_mean,Inflammatory_Mph_score1_mean,Injury_response_Mph_score1_mean,Neutrophil_score1_mean,Activated_neutrophil_score1_mean,Interferon_response_score1_mean,Antigen_presentation_score1_mean,Neutrophil_inflammation1_mean,Chemokine_recruitment1_mean,IL1_TNF_inflammatory1_mean,IFN_response1_mean,Antigen_presentation1_mean,Kupffer_resident_identity1_mean,Phagocytosis_efferocytosis1_mean,Tissue_repair_ECM1_mean,Endothelial_activation1_mean,ROS_degranulation1_mean,T_NK_activation1_mean,Anti_inflammatory_repair1_mean
AP-300,APAP,Activated inflammatory neutrophil,3,-0.5787594721074606,-0.36324214813105643,1.2836334454597986,-0.15728342158750236,1.0373113809630286,1.5516010762243795,-0.12467468184208105,0.18798662810827782,1.3184742313125162,0.2961956339782216,0.48351724820943737,0.14594183849625592,0.718361877835484,-0.5157230772107722,-0.0825379782501092,0.015956144138138156,0.11017608213449358,0.16738449698449928,0.09182816046656252,-0.2782933090418419
AP-300,APAP,Activated neutrophil,55,-0.5228578214925486,-0.4659114207854297,0.5215950121950903,0.032241501403526156,1.243166676122315,0.5582963869090652,-0.2627820844190559,1.5974240828119426,1.1673192673690542,0.03753869590085361,0.10143806164082401,-0.12459432571235217,1.4687124700280583,-0.45682884732170626,-0.08620070769639376,-0.056098627661942305,0.004009088778773425,-0.05054334026613531,-0.021973265327871323,-0.3415642836888144
AP-300,APAP,Antigen-presenting macrophage / Mo-Mac,216,0.21363921737508174,0.5820922458858079,0.5209312549183466,0.9386469495311951,-0.1292735820527963,0.1949408354625384,0.024906497730251338,1.9426240789639952,0.12779830157688704,0.37367139342705047,-0.09300189212967974,0.12404108039307794,1.720076792538358,0.15792509733932714,0.09398305002074299,0.005382617809287739,-0.003019552722195695,0.3637834894750964,-0.02525810710097459,0.31496965883851946
AP-300,APAP,Antigen-presenting myeloid with lymphoid-like signal,24,-0.18781042543544596,0.26811853524582635,0.08754478228511947,0.3143524935060666,-0.2880869275468389,-0.40073941936921076,-0.07014122012386313,1.9049355497389506,-0.20353379245180805,0.1916631208214787,-0.185857299810294,0.09252546037103093,1.7001676462811024,-0.17503385067882274,-0.05364020134028565,-0.03149701031253116,-0.05358309092596657,0.17214116037394722,0.6419324605760149,-0.05080427095834846
AP-300,APAP,CCR7+ DC-like antigen-presenting myeloid,6,-0.5514533533981479,-0.6266487141319843,-0.10051191168254289,-0.2729711592687237,-0.08664136674258009,-0.7425375573571937,-0.16715350477461632,2.497126249179383,-0.22443239637734477,-0.035062407246936655,-0.05787307711675446,-0.15403483801075615,2.103654734640429,-0.5069946857579648,-0.07111705685173492,-0.08962357221811018,-0.05490481155011635,0.14100215991729892,0.062322275100632735,-0.3100244052641883
AP-300,APAP,Cycling neutrophil,14,0.41779087492937284,0.6033160690310089,0.020967687552363716,0.5257623523101581,0.870820041103753,-0.28810029912871843,-0.1745314454296113,0.6800151572710638,0.5535969101817378,0.08669374756282912,-0.2474229132331609,-0.06925166284800796,0.9184097369507924,0.414518478166358,0.09219374603188837,-0.09875439895868472,0.01685074797714754,0.6374114616776478,0.006817126240089037,0.3147682284079824
AP-300,APAP,DC-like antigen-presenting myeloid,250,-0.5649048338130144,0.20464070185721278,0.03431602976721399,0.03579317015912216,-0.20747864281854211,-0.5316943890145548,-0.19497784587142467,1.8365252186994603,-0.17345005754386028,0.020856432909979176,-0.1417995750850388,0.0340944877178887,1.538702425209032,-0.5072603594797372,-0.10510865904355012,0.07660826466735267,-0.049385649211836594,0.15274591377397814,-0.05809343200245472,-0.2529867119708039
AP-300,APAP,IFN-responsive inflammatory neutrophil,1,-0.4481921190877965,1.6067680506957478,-0.09546707275572913,0.36691073521714074,3.171559019846298,-0.04409673105256484,1.5036870289665378,0.18628262368482928,2.107004127006673,-0.1247110853057484,-0.06004628037547338,1.1556678383710104,0.7969797846822815,-0.3930650936931316,-0.02721245061433883,0.13274485840207628,-0.04470841507959733,0.26939711751059475,-0.08572692208559532,-0.017473080183354583
AP-300,APAP,Inflammatory neutrophil,147,-0.5555188113306774,-0.3085124120946559,0.5540127289820931,-0.01750840710914448,1.3784828390602932,0.5650288821703612,-0.2199800680714872,0.033439851311029965,1.263068590578192,0.1894200361692166,0.08858053201872633,-0.11281377969337367,0.6577493685106164,-0.4909797101395205,-0.10841797805975263,-0.043211012061599025,-0.04359332915560203,-0.08533268809575105,0.6179573789667498,-0.3487838450344131
AP-300,APAP,Mature neutrophil,100,-0.42043586100855346,0.8644483057088289,-0.08276189735337965,0.18212674777384702,3.319985210099536,-0.1048398152925141,-0.15695008063056687,0.042147680462611636,2.2120104597128556,-0.11478660539964833,-0.07146460324012398,0.023548646750743012,0.48830831052199314,-0.3636964746453575,-0.07042418628124276,0.17920350627275,-0.022700025143517266,0.3441860255769377,0.03827017024748025,0.0546640978267349
